accession_1	lysine_ct	accession_2	delta_mass	modification	
3458.99_Da_E2112	3	3359.92_Da_E2177	99.07	99.07
6966.83_Da_E1567	13	6939.83_Da_E2224	27.01	27.01
15981.99_Da_E112	17	15967_Da_E579	14.99	14.99
11080.43_Da_E1197	13	11065.42_Da_E813	14.99	14.99
20788.77_Da_E1030 P11076_2full181_1G_P18_1T Myristoylation; Ox, Ox; Ox; Ox	9	P11076_2full181_1G_P18_1T Myristoylation; Ox, Ox	31.98	31.98 Ox; Ox
14042.32_Da_E1173	8	13944.24_Da_E76	98.07	98.07
13960.23_Da_E325	8	13944.24_Da_E76	16.00	16.00
13975.23_Da_E1176	8	13944.24_Da_E76	30.98	30.98
13975.23_Da_E1176	8	13960.23_Da_E325	14.99	14.99
12679.16_Da_E82 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L)	22	P48836_2full114_1G_P3_1T Acetyl	-113.08	-113.08 Missing Leucine (L)
12679.16_Da_E82 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L)	22	12608.12_Da_E451 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L); Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
12792.24_Da_E563 P48836_2full114_1G_P3_1T Acetyl	22	12679.16_Da_E82 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L)	113.09	113.09 Missing Leucine (L)
12679.16_Da_E978 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L)	22	P48836_2full114_1G_P3_1T Acetyl	-113.08	-113.08 Missing Leucine (L)
12792.24_Da_E563 P48836_2full114_1G_P3_1T Acetyl	22	P48836_2full114_1G_P3_1T Acetyl	0.00	0.00
12792.24_Da_E563 P48836_2full114_1G_P3_1T Acetyl	22	12608.12_Da_E451 P48836_2full114_1G_P3_1T Acetyl; Missing Leucine (L); Missing Alanine (A)	184.12	184.12 Missing Leucine (L); Missing Alanine (A)
17023.02_Da_E74 Q02642_2full157_1G_P1_1T Unmodified	18	Q02642_2full157_1G_P1_1T Unmodified	0.00	0.00
17121.08_Da_E1251 Q02642_2full157_1G_P1_1T Acetone Artifact	18	17023.02_Da_E74 Q02642_2full157_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
17039.02_Da_E239 Q02642_2full157_1G_P2_1T Ox	18	17023.02_Da_E74 Q02642_2full157_1G_P1_1T Unmodified	16.00	16.00 Ox
17055.01_Da_E1384 Q02642_2full157_1G_P20_1T Ox; Ox	18	17023.02_Da_E74 Q02642_2full157_1G_P1_1T Unmodified	31.99	31.99 Ox; Ox
17039.02_Da_E239 Q02642_2full157_1G_P2_1T Ox	18	Q02642_2full157_1G_P2_1T Ox	0.00	0.00
17055.01_Da_E1384 Q02642_2full157_1G_P20_1T Ox; Ox	18	17039.02_Da_E239 Q02642_2full157_1G_P2_1T Ox	16.00	16.00 Ox
17055.01_Da_E1384 Q02642_2full157_1G_P20_1T Ox; Ox	18	Q02642_2full157_1G_P20_1T Ox; Ox	0.00	0.00
17005.97_Da_E822 Q02642_2full157_1G_P7_1T Ammonia loss	18	Q02642_2full157_1G_P7_1T Ammonia loss	-0.02	-0.02
17923_Da_E54 P0CX47_2full156_2G_P3_1T Acetyl	20	P0CX47_2full156_2G_P3_1T Acetyl	0.00	0.00
14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	20	P02293_2full131_1G_P4_1T Acetyl	0.00	0.00
14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	20	14272.89_Da_E159 P02293_2full131_1G_P1_1T Unmodified	42.01	42.01 Acetyl
14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	42.01	42.01 Acetyl
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	84.02	84.02 Acetyl; Acetyl
14272.89_Da_E159 P02293_2full131_1G_P1_1T Unmodified	20	P02293_2full131_1G_P1_1T Unmodified	0.00	0.00
14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	P02293_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	42.01	42.01 Acetyl
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	0.00	0.00
14356.89_Da_E442 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	P02293_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
21672.18_Da_E59 P26786_2full190_1G_P4_1T Acetyl	19	P26786_2full190_1G_P4_1T Acetyl	0.00	0.00
10949.91_Da_E1364 P46965_2full94_1G_P3_1T Acetyl	7	P46965_2full94_1G_P3_1T Acetyl	0.00	0.00
20958.62_Da_E1119 Q12335_2full198_1G_P1_1T Unmodified	10	Q12335_2full198_1G_P1_1T Unmodified	-0.02	-0.02
5152.95_Da_E786	8	5081.91_Da_E2162	71.03	71.03
5168.95_Da_E1415	8	5081.91_Da_E2162	87.03	87.03
5168.95_Da_E1415	8	5152.95_Da_E786	16.00	16.00
7940.79_Da_E2160 P36533_2full70_1G_P1_1T Unmodified	13	P36533_2full70_1G_P1_1T Unmodified	0.00	0.00
15946.06_Da_E62 Q03048_2full143_1G_P15_1T Ox; Ammonia loss; Acetyl	11	Q03048_2full143_1G_P15_1T Ox; Ammonia loss	42.04	42.04 Acetyl
15962.06_Da_E269 Q03048_2full143_1G_P22_1T Ox, Ox; Ammonia loss; Acetyl	11	15946.06_Da_E62 Q03048_2full143_1G_P15_1T Ox; Ammonia loss; Acetyl	16.00	16.00 Ox
15962.06_Da_E269 Q03048_2full143_1G_P22_1T Ox, Ox; Ammonia loss; Acetyl	11	Q03048_2full143_1G_P22_1T Ox, Ox; Ammonia loss	42.04	42.04 Acetyl
15962.06_Da_E269 Q03048_2full143_1G_P22_1T Ox, Ox; Ammonia loss; Acetyl	11	15930.03_Da_E542 Q03048_2full143_1G_P22_1T Ammonia loss; Acetyl	32.02	32.02 Ox, Ox
15939_Da_E1438 Q03048_2full143_1G_P20_1T Deamidation; Ox, Ox; Deamidation	11	Q03048_2full143_1G_P20_1T Deamidation; Ox, Ox	0.98	0.98 Deamidation
14337.33_Da_E79 P53221_2full127_1G_P1_1T Acetone Artifact	18	P53221_2full127_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
14337.33_Da_E79 P53221_2full127_1G_P1_1T Acetone Artifact	18	14322.33_Da_E265	14.99	14.99
14337.33_Da_E79 P53221_2full127_1G_P1_1T Acetone Artifact	18	14305.3_Da_E1194	32.02	32.02
14222.24_Da_E221 P53221_2full127_1G_P1_1T Ammonia loss	18	P53221_2full127_1G_P1_1T Unmodified	-17.03	-17.03 Ammonia loss
14322.33_Da_E265	18	14305.3_Da_E1194	17.03	17.03
14322.33_Da_E265	18	14222.24_Da_E221 P53221_2full127_1G_P1_1T Ammonia loss	100.08	100.08
14222.24_Da_E221 P53221_2full127_1G_P1_1T Ammonia loss	18	14180.2_Da_E437	42.05	42.05
13479.81_Da_E1074 O13542_2full113_1G_P1_1T Ammonia loss	6	O13542_2full113_1G_P1_1T Unmodified	-17.00	-17.00 Ammonia loss
15480.7_Da_E94	19	15366.65_Da_E206	114.06	114.06
16219.18_Da_E90 P0CX30_2full145_2G_P1_1T Ox; Ox	22	P0CX30_2full145_2G_P1_1T Unmodified	31.98	31.98 Ox; Ox
13436.07_Da_E113 P39111_2full118_1G_P1_1T Acetyl	9	P39111_2full118_1G_P1_1T Unmodified	42.00	42.00 Acetyl
13436.07_Da_E343 P39111_2full118_1G_P1_1T Acetyl	9	P39111_2full118_1G_P1_1T Unmodified	42.00	42.00 Acetyl
9095.82_Da_E1593	7	8997.73_Da_E125	98.07	98.07
9013.73_Da_E669	7	8997.73_Da_E125	16.00	16.00
8997.73_Da_E125	7	8926.71_Da_E1199	71.03	71.03
9095.7_Da_E592	7	8997.73_Da_E125	97.97	97.97
9081.79_Da_E338	7	8997.73_Da_E125	84.05	84.05
9095.82_Da_E1593	7	9013.73_Da_E669	82.07	82.07
9095.82_Da_E1593	7	8940.73_Da_E1916	155.09	155.09
9095.82_Da_E1593	7	9081.79_Da_E338	14.02	14.02
9081.79_Da_E338	7	9013.73_Da_E669	68.05	68.05
9013.73_Da_E669	7	8926.71_Da_E1199	87.03	87.03
9081.79_Da_E338	7	8926.71_Da_E1199	155.09	155.09
8940.73_Da_E1916	7	8926.71_Da_E1199	14.02	14.02
9095.7_Da_E592	7	9081.69_Da_E134	14.02	14.02
9081.79_Da_E338	7	9067.77_Da_E666	14.02	14.02
9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	6	P52871_2full88_1G_P1_1T Unmodified	0.00	0.00
9615.35_Da_E1657 P52871_2full88_1G_P1_1T Acetone Artifact	6	9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
9783.43_Da_E781 P52871_2full88_1G_P1_1T Hydrogen Dodecyl Sulfate	6	9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	266.15	266.15 Hydrogen Dodecyl Sulfate
9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	6	9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
9559.28_Da_E268 P52871_2full88_1G_P1_1T Acetyl	6	9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	42.01	42.01 Acetyl
9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	6	9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	184.12	184.12 Missing Isoleucine (I); Missing Alanine (A)
9517.28_Da_E121 P52871_2full88_1G_P1_1T Unmodified	6	9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	6	P52871_2full88_1G_P1_1T Unmodified	-71.04	-71.04 Missing Alanine (A)
9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	6	P52871_2full88_1G_P1_1T Unmodified	-113.08	-113.08 Missing Isoleucine (I)
9559.28_Da_E268 P52871_2full88_1G_P1_1T Acetyl	6	P52871_2full88_1G_P1_1T Unmodified	42.00	42.00 Acetyl
9615.35_Da_E1657 P52871_2full88_1G_P1_1T Acetone Artifact	6	P52871_2full88_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
9783.43_Da_E781 P52871_2full88_1G_P1_1T Hydrogen Dodecyl Sulfate	6	9615.35_Da_E1657 P52871_2full88_1G_P1_1T Acetone Artifact	168.08	168.08
9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	6	9375.21_Da_E378 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox	71.03	71.03 Missing Serine (S); Ox
9488.25_Da_E1140 P52871_2full88_1G_P1_1T Missing Alanine (A); Acetyl	6	9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	42.01	42.01 Acetyl
9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	6	9262.13_Da_E1129 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox; Missing Isoleucine (I)	184.12	184.12 Missing Isoleucine (I); Missing Alanine (A)
9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	6	9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
9446.25_Da_E423 P52871_2full88_1G_P1_1T Missing Alanine (A)	6	9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	42.05	42.05 Acetyl
9559.28_Da_E268 P52871_2full88_1G_P1_1T Acetyl	6	9488.25_Da_E1140 P52871_2full88_1G_P1_1T Missing Alanine (A); Acetyl	71.03	71.03 Missing Alanine (A)
9559.28_Da_E268 P52871_2full88_1G_P1_1T Acetyl	6	9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	155.09	155.09 Acetone Artifact; Carbamidomethyl
9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	6	9262.13_Da_E1129 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox; Missing Isoleucine (I)	71.03	71.03 Missing Serine (S); Ox
9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	6	9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	71.03	71.03 Missing Alanine (A)
9488.25_Da_E1140 P52871_2full88_1G_P1_1T Missing Alanine (A); Acetyl	6	9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	155.09	155.09 Acetone Artifact; Carbamidomethyl
9375.21_Da_E378 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox	6	9333.16_Da_E1239 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Isoleucine (I)	42.05	42.05 Carbamidomethyl; Missing Valine (V)
9488.25_Da_E1140 P52871_2full88_1G_P1_1T Missing Alanine (A); Acetyl	6	9404.2_Da_E549 P52871_2full88_1G_P1_1T Missing Isoleucine (I)	84.05	84.05 Acetyl; Acetyl
9375.21_Da_E378 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox	6	9262.13_Da_E1129 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox; Missing Isoleucine (I)	113.09	113.09 Missing Isoleucine (I)
9375.21_Da_E378 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox	6	9288.18_Da_E1103	87.03	87.03
9262.13_Da_E1129 P52871_2full88_1G_P1_1T Missing Alanine (A); Missing Serine (S); Ox; Missing Isoleucine (I)	6	9175.1_Da_E1750	87.03	87.03
9288.18_Da_E1103	6	9175.1_Da_E1750	113.09	113.09
10243.11_Da_E1023 P32463_37frag125_1G_P2_1T O-(pantetheine 4'-phosphoryl)serine; Carbamidomethyl	6	P32463_37frag125_1G_P2_1T O-(pantetheine 4'-phosphoryl)serine	57.02	57.02 Carbamidomethyl
15343.84_Da_E1125 P61830_2full136_1G_P1_1T Unmodified	16	P61830_2full136_1G_P1_1T Unmodified	0.00	0.00
15426.92_Da_E177 P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl	-1.00	-1.00 Missed Monoisotopic (-1)
15426.92_Da_E177 P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	15412.9_Da_E366 P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
15412.9_Da_E366 P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl	-1.00	-1.00 Missed Monoisotopic (-1)
15330.85_Da_E589 P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox; Missing Alanine (A)	16	P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox	-71.04	-71.04 Missing Alanine (A)
13508.84_Da_E1410 Q02784_30frag150_1G_P1_1T Unmodified	7	Q02784_30frag150_1G_P1_1T Unmodified	0.00	0.00
8894.1_Da_E2148	11	8852.06_Da_E827	42.05	42.05
8852.06_Da_E827	11	8738.98_Da_E457	113.09	113.09
8852.06_Da_E827	11	8640.91_Da_E503	211.15	211.15
8738.98_Da_E457	11	8640.91_Da_E503	98.07	98.07
9271.29_Da_E2042	11	8738.98_Da_E457	532.31	532.31
9439.36_Da_E2047	11	9271.29_Da_E2042	168.08	168.08
9705.52_Da_E2028	11	9439.36_Da_E2047	266.15	266.15
9538.44_Da_E1997	11	9439.36_Da_E2047	99.07	99.07
9804.59_Da_E2049	11	9705.52_Da_E2028	99.07	99.07
9804.59_Da_E2049	11	9538.44_Da_E1997	266.15	266.15
14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	19	P02294_2full131_1G_P4_1T Acetyl	0.00	0.00
14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	16.00	16.00 Ox
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	42.01	42.01 Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	84.02	84.02 Acetyl; Acetyl
14291.86_Da_E126 P02294_2full131_1G_P4_1T Acetyl	19	P02294_2full131_1G_P4_1T Acetyl	0.00	0.00
14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	19	P02294_2full131_1G_P6_1T Acetyl; Ox	0.00	0.00
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	42.01	42.01 Acetyl
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	26.02	26.02
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	P02294_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	16.00	16.00 Ox
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	42.01	42.01 Acetyl
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	84.02	84.02 Acetyl; Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	0.00	0.00
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	42.01	42.01 Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	26.02	26.02
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	84.02	84.02 Acetyl; Acetyl
14291.86_Da_E126 P02294_2full131_1G_P4_1T Acetyl	19	14249.85_Da_E414 P02294_2full131_1G_P1_1T Unmodified	42.01	42.01 Acetyl
14236.87_Da_E518 P02294_2full131_1G_P6_1T Acetyl; Ox; Missing Alanine (A)	19	P02294_2full131_1G_P6_1T Acetyl; Ox	-71.00	-71.00 Missing Alanine (A)
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	P02294_2full131_1G_P8_1T Acetyl; Acetyl	15.99	15.99 Ox
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	0.00	0.00
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	42.01	42.01 Acetyl
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	42.00	42.00 Acetyl
14249.85_Da_E414 P02294_2full131_1G_P1_1T Unmodified	19	P02294_2full131_1G_P1_1T Unmodified	0.00	0.00
20543.25_Da_E173 P05740_2full184_1G_P1_1T Deamidation	17	P05740_2full184_1G_P1_1T Unmodified	0.98	0.98 Deamidation
16421.78_Da_E1089 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	98.07	98.07 Acetone Artifact
16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	16057.55_Da_E122 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Phospho; Hydrogen Dodecyl Sulfate	266.15	266.15 Hydrogen Dodecyl Sulfate
16589.86_Da_E158 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	266.15	266.15 Hydrogen Dodecyl Sulfate
16339.7_Da_E232 P48589_2full143_1G_P28_1T Ox; Acetyl; Hydrogen Dodecyl Sulfate; Phospho; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	16.00	16.00 Ox
16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	15791.4_Da_E187 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Phospho	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	16243.74_Da_E317 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	79.97	79.97 Phospho
17122.17_Da_E303 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	798.46	798.46 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
16355.69_Da_E475 P48589_2full143_1G_P28_1T Ox; Acetyl; Hydrogen Dodecyl Sulfate; Phospho; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Ox	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	31.99	31.99 Ox; Ox
16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	16155.62_Da_E1369 P48589_2full143_1G_P28_1T Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	168.08	168.08 Acetyl; Acetyl; Acetyl; Acetyl
17388.33_Da_E668 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	9	16323.7_Da_E107 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	1064.62	1064.62 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
16421.78_Da_E1089 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact	9	16155.62_Da_E1369 P48589_2full143_1G_P28_1T Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho	266.15	266.15 Hydrogen Dodecyl Sulfate
16954.08_Da_E1270 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	9	16421.78_Da_E1089 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact	532.31	532.31 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
16421.78_Da_E1089 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact	9	16339.7_Da_E232 P48589_2full143_1G_P28_1T Ox; Acetyl; Hydrogen Dodecyl Sulfate; Phospho; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate	82.07	82.07
16421.78_Da_E1089 P48589_2full143_1G_P28_1T Acetyl; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Phospho; Acetone Artifact	9	15623.32_Da_E1326 P48589_2full143_1G_P28_1T Hydrogen Dodecyl Sulfate; Phospho	798.46	798.46 Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate; Hydrogen Dodecyl Sulfate
